wpm,ac,r,t,sl,tid,gn,np,pts
139.46,1,2,1643760753.444,L6,3621863,2051,5,139.46
137.22,0.98,1,1643753887.197,L6,229,2050,5,98.34
136.15,0.99,1,1643751184.652,L6,4940197,2049,4,97.57
138.5,1,1,1643751116.739,L6,3810620,2048,5,166.2
125.06,1,1,1643751041.54,L6,3622363,2047,5,102.13
133.55,0.99,1,1643750980.465,L6,3550066,2046,5,131.33
112.83,0.98,2,1643736464.349,L6,3622460,2045,5,69.58
131.18,0.99,1,1643736372.655,L6,4350537,2044,3,242.68
143.21,1,2,1643736100.639,L6,4060154,2043,5,116.96
133.54,0.99,2,1643736044.972,L6,4180833,2042,5,129.09
123.27,0.99,2,1643735342.961,L6,465,2041,2,125.32
129.35,0.97,1,1643735292.638,L6,3811106,2040,5,58.21
120.39,0.98,1,1643733620.418,L6,3620598,2039,4,132.43
120.65,0.96,1,1643733190.281,L6,3550694,2038,2,102.56
134.66,0.99,2,1643733122.561,L6,3622426,2037,4,107.73
108.65,0.97,1,1643733070.33,L6,3640799,2036,4,85.11
146.95,0.99,1,1643732976.55,L6,3811353,2035,5,124.9
126.47,0.98,3,1643675485.865,L6,4350683,2034,4,113.82
134.62,0.99,1,1643675439.94,L6,476,2033,3,125.64
141.19,1,1,1643675392.614,L6,3550179,2032,1,63.53
129.41,0.99,1,1643675347.458,L6,3810189,2031,5,88.43
128.87,0.99,2,1643675097.46,L6,4350410,2030,3,90.21
130.2,0.99,1,1643674987.761,L6,3622331,2029,4,52.08
120.79,0.98,1,1643674791.503,L6,3621049,2028,5,106.7
130.95,0.98,1,1643674002.809,L6,3620284,2027,4,96.03
120.22,0.98,1,1643673845.722,L6,44,2026,5,84.15
125,0.99,1,1643673800.54,L6,3622396,2025,5,102.08
136.14,0.98,1,1643673749.131,L6,3550095,2024,4,102.11
146.36,1,1,1643673664.277,L6,3950036,2023,4,97.57
122.14,0.97,1,1643668893.769,L6,4180391,2022,5,111.96
133.01,0.99,1,1643658139.776,L6,4350377,2021,5,106.41
120.12,0.97,1,1643651705.691,L6,3810469,2020,5,158.15
114,0.98,1,1643651513.306,L6,3622129,2019,5,127.29
122.48,0.98,1,1643651465.454,L6,3550189,2018,3,97.99
137.04,0.99,1,1643651061.676,L6,3620059,2017,5,180.43
125.7,0.98,1,1643651006.386,L6,4060023,2016,3,117.32
103.14,0.96,2,1643650947.271,L6,568,2015,2,110.02
130.87,0.99,1,1643650876.549,L6,4350697,2014,3,226.84
95.95,0.96,3,1643650788.915,L6,3620324,2013,5,47.98
137.97,1,1,1643650725.232,L6,4350412,2012,5,126.48
126.85,0.99,2,1643650674.508,L6,3621110,2011,5,67.65
139.95,1,1,1643650625.516,L6,3810184,2010,5,114.29
113.17,0.99,1,1643650561.559,L6,3622166,2009,4,62.25
123.59,0.99,1,1643650528.94,L6,3620691,2008,2,76.22
108.39,0.96,3,1643650483.866,L6,3810509,2007,5,72.26
134.71,0.99,1,1643650451.583,L6,4350366,2006,3,110.01
